config_key,model_type,hidden_channels,num_layers,dropout,use_residual,batch_size,lr,mean_accuracy,std_accuracy,mean_f1,std_f1
config_01,sage,64,2,0.2,False,16,0.001,0.0,0.0,0.0,0.0
config_02,sage,64,2,0.2,True,16,0.001,0.0,0.0,0.0,0.0
config_19,sage,64,2,0.3,False,32,0.0005,0.0,0.0,0.0,0.0
config_18,sage,64,2,0.3,True,32,0.001,0.0,0.0,0.0,0.0
config_17,sage,64,2,0.3,False,32,0.001,0.0,0.0,0.0,0.0
config_16,sage,64,2,0.3,True,16,0.0005,0.0,0.0,0.0,0.0
config_15,sage,64,2,0.3,False,16,0.0005,0.0,0.0,0.0,0.0
config_14,sage,64,2,0.3,True,16,0.001,0.0,0.0,0.0,0.0
config_13,sage,64,2,0.3,False,16,0.001,0.0,0.0,0.0,0.0
config_12,sage,64,2,0.2,True,64,0.0005,0.0,0.0,0.0,0.0
config_11,sage,64,2,0.2,False,64,0.0005,0.0,0.0,0.0,0.0
config_10,sage,64,2,0.2,True,64,0.001,0.0,0.0,0.0,0.0
config_09,sage,64,2,0.2,False,64,0.001,0.0,0.0,0.0,0.0
config_08,sage,64,2,0.2,True,32,0.0005,0.0,0.0,0.0,0.0
config_07,sage,64,2,0.2,False,32,0.0005,0.0,0.0,0.0,0.0
config_06,sage,64,2,0.2,True,32,0.001,0.0,0.0,0.0,0.0
config_05,sage,64,2,0.2,False,32,0.001,0.0,0.0,0.0,0.0
config_04,sage,64,2,0.2,True,16,0.0005,0.0,0.0,0.0,0.0
config_03,sage,64,2,0.2,False,16,0.0005,0.0,0.0,0.0,0.0
config_20,sage,64,2,0.3,True,32,0.0005,0.0,0.0,0.0,0.0
