;num_nodes;num_edges;average_shortest_path_length;density;net_to_component_ratio;pin_to_component_ratio;avg_connections_per_net;num_nodes_component;num_components_SubCircuitElement;num_components_Node;num_components_Resistor;num_components_BehavioralCapacitor;num_components_VoltageSource;num_components_Mosfet;num_components_Diode;num_components_JunctionFieldEffectTransistor;num_components_BipolarJunctionTransistor;num_components_CurrentSource;num_components_BehavioralInductor;num_components_XSpiceElement;num_components_Capacitor;num_components_CoupledInductor;num_components_VoltageControlledCurrentSource;num_components_BehavioralSource;num_components_VoltageControlledVoltageSource
;;;;;;;;;;;;;;;;;;;;;;;;;
mean;25,08503401;35,31972789;3,129251701;0,146041616;0,451118644;0;0;25,08503401;1,442176871;11,31632653;5,602040816;3,520408163;1,843537415;0,210884354;0,476190476;0,013605442;0,044217687;0,085034014;0,397959184;0,023809524;0,047619048;0,027210884;0,003401361;0,017006803;0,013605442
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
# Global component class frequencies;;;;;;;;;;;;;;;;;;;;;;;;;
component_type;count;relative_frequency_percent;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Node;3327;45,11186441;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Resistor;1647;22,33220339;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
BehavioralCapacitor;1035;14,03389831;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VoltageSource;542;7,349152542;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
SubCircuitElement;424;5,749152542;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Diode;140;1,898305085;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
BehavioralInductor;117;1,586440678;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Mosfet;62;0,840677966;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
CurrentSource;25;0,338983051;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Capacitor;14;0,189830508;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
BipolarJunctionTransistor;13;0,176271186;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
CoupledInductor;8;0,108474576;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
XSpiceElement;7;0,094915254;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
BehavioralSource;5;0,06779661;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
JunctionFieldEffectTransistor;4;0,054237288;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VoltageControlledVoltageSource;4;0,054237288;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VoltageControlledCurrentSource;1;0,013559322;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Sum nodes;7375;;;;;;;;;;;;;;;;;;;;;;;;
